"Nodo","Fecha","Hora","pml"
"05FZA-115","2024-12-07","1","625.25"
"05FZA-115","2024-12-07","2","618.36"
"05FZA-115","2024-12-07","3","563.58"
"05FZA-115","2024-12-07","4","523.55"
"05FZA-115","2024-12-07","5","527.32"
"05FZA-115","2024-12-07","6","539.44"
"05FZA-115","2024-12-07","7","599.23"
"05FZA-115","2024-12-07","8","637.38"
"05FZA-115","2024-12-07","9","602.51"
"05FZA-115","2024-12-07","10","523.02"
"05FZA-115","2024-12-07","11","512.95"
"05FZA-115","2024-12-07","12","513.79"
"05FZA-115","2024-12-07","13","492.44"
"05FZA-115","2024-12-07","14","488.47"
"05FZA-115","2024-12-07","15","499.33"
"05FZA-115","2024-12-07","16","501.54"
"05FZA-115","2024-12-07","17","654.13"
"05FZA-115","2024-12-07","18","1174.11"
"05FZA-115","2024-12-07","19","1136.27"
"05FZA-115","2024-12-07","20","1137.58"
"05FZA-115","2024-12-07","21","1161.82"
"05FZA-115","2024-12-07","22","1032.18"
"05FZA-115","2024-12-07","23","1029.99"
"05FZA-115","2024-12-07","24","622.4"
"04FMA-115","2024-12-01","1","481.66"
"04FMA-115","2024-12-01","2","413.33"
"04FMA-115","2024-12-01","3","390.6"
"04FMA-115","2024-12-01","4","384.03"
"04FMA-115","2024-12-01","5","375.52"
"04FMA-115","2024-12-01","6","376.29"
"04FMA-115","2024-12-01","7","375.79"
"04FMA-115","2024-12-01","8","374.42"
"04FMA-115","2024-12-01","9","346.43"
"04FMA-115","2024-12-01","10","164.18"
"04FMA-115","2024-12-01","11","44.44"
"04FMA-115","2024-12-01","12","48.62"
"04FMA-115","2024-12-01","13","58.15"
"04FMA-115","2024-12-01","14","71.95"
"04FMA-115","2024-12-01","15","75.29"
"04FMA-115","2024-12-01","16","77.27"
"04FMA-115","2024-12-01","17","211.84"
"04FMA-115","2024-12-01","18","344.35"
"04FMA-115","2024-12-01","19","543.16"
"04FMA-115","2024-12-01","20","581.82"
"04FMA-115","2024-12-01","21","536.14"
"04FMA-115","2024-12-01","22","567.34"
